,Symbol,Sector,Sub Industry,Name,Market Cap,P 2018,P 2019,change,Index
252,KSS,Consumer Discretionary,General Merchandise Stores,Kohl's Corp.,10570861198,66.34,50.95,-0.23198673500150735,S&P500
253,KHC,Consumer Staples,Packaged Foods & Meats,Kraft Heinz Co,89618309338,43.04,32.13,-0.25348513011152407,S&P500
254,KR,Consumer Staples,Food Retail,Kroger Co.,25471355847,27.5,28.99,0.05418181818181811,S&P500
255,LB,Consumer Discretionary,Apparel Retail,L Brands Inc.,13862042842,25.67,18.12,-0.2941176470588235,S&P500
256,LH,Health Care,Health Care Services,Laboratory Corp. of America Holding,17271388000,126.36,169.17,0.33879392212725534,S&P500
257,LRCX,Information Technology,Semiconductor Equipment,Lam Research,27967534829,136.17,292.4,1.1473158551810236,S&P500
258,LEG,Consumer Discretionary,Home Furnishings,Leggett & Platt,6034600480,35.84,50.83,0.41824776785714257,S&P500
259,LEN,Consumer Discretionary,Homebuilding,Lennar Corp.,14615967194,39.15,55.79,0.42503192848020444,S&P500
260,LLY,Health Care,Pharmaceuticals,Lilly (Eli) & Co.,84475986228,115.72,131.43,0.1357587279640513,S&P500
261,LNC,Financials,Multi-line Insurance,Lincoln National,17123031000,51.31,59.01,0.15006821282401073,S&P500
262,LKQ,Consumer Discretionary,Distributors,LKQ Corporation,12469931896,23.73,35.7,0.5044247787610621,S&P500
263,LMT,Industrials,Aerospace & Defense,Lockheed Martin Corp.,98102120000,261.84,389.38,0.48709135349831967,S&P500
264,L,Financials,Multi-line Insurance,Loews Corp.,16111166935,45.52,52.49,0.15311950790861162,S&P500
265,LOW,Consumer Discretionary,Home Improvement Retail,Lowe's Cos.,82909678852,92.36,119.76,0.2966652230402773,S&P500
266,LYB,Materials,Specialty Chemicals,LyondellBasell,43556650000,83.16,94.48,0.1361231361231363,S&P500
267,MTB,Financials,Regional Banks,M&T Bank Corp.,27840827434,143.13,169.75,0.18598476909103612,S&P500
268,M,Consumer Discretionary,Department Stores,Macy's Inc.,7541063495,29.78,17.0,-0.4291470785762257,S&P500
269,MRO,Energy,Oil & Gas Exploration & Production,Marathon Oil Corp.,13875005314,14.34,13.58,-0.05299860529986056,S&P500
270,MPC,Energy,Oil & Gas Refining & Marketing,Marathon Petroleum,31633740000,59.01,60.25,0.02101338756143023,S&P500
271,MAR,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Marriott Int'l.,50910130358,108.56,151.43,0.3948968312453942,S&P500
272,MMC,Financials,Insurance Brokers,Marsh & McLennan,41819440000,79.75,111.41,0.39699059561128514,S&P500
273,MLM,Materials,Construction Materials,Martin Marietta Materials,13756812736,171.87,279.64,0.6270436958166055,S&P500
274,MAS,Industrials,Building Products,Masco Corp.,13428792315,29.24,47.99,0.6412448700410398,S&P500
275,MA,Information Technology,Data Processing & Outsourced Services,Mastercard Inc.,187102014193,188.65,298.59,0.5827723297111049,S&P500
276,MKC,Consumer Staples,Packaged Foods & Meats,McCormick & Co.,13459353253,139.24,169.73,0.2189744326343004,S&P500
277,MCD,Consumer Discretionary,Restaurants,McDonald's Corp.,132101623787,177.57,197.61,0.11285690150363248,S&P500
278,MCK,Health Care,Health Care Distributors,McKesson Corp.,31534840262,110.47,138.32,0.25210464379469544,S&P500
279,MDT,Health Care,Health Care Equipment,Medtronic plc,110107062300,90.96,113.45,0.24725153913808273,S&P500
280,MRK,Health Care,Pharmaceuticals,Merck & Co.,152241530340,76.41,90.95,0.19028922915848723,S&P500
281,MET,Financials,Life & Health Insurance,MetLife Inc.,48679364276,41.06,50.97,0.24135411592791023,S&P500
282,MTD,Health Care,Life Sciences Tools & Services,Mettler Toledo,16420774443,565.58,793.28,0.40259556561405985,S&P500
283,MGM,Consumer Discretionary,Casinos & Gaming,MGM Resorts International,19633674337,24.26,33.27,0.37139323990107176,S&P500
284,MCHP,Information Technology,Semiconductors,Microchip Technology,19393095636,71.92,104.72,0.4560622914349277,S&P500
285,MU,Information Technology,Semiconductors,Micron Technology,48576791974,31.73,53.78,0.6949259375984873,S&P500
286,MSFT,Information Technology,Systems Software,Microsoft Corp.,689978437468,101.57,157.7,0.5526238062420006,S&P500
287,MAA,Real Estate,Residential REITs,Mid-America Apartments,9992628990,95.7,131.86,0.37784743991640557,S&P500
288,MHK,Consumer Discretionary,Home Furnishings,Mohawk Industries,19897356456,116.96,136.38,0.16603967168262646,S&P500
289,TAP,Consumer Staples,Brewers,Molson Coors Brewing Company,12396862128,56.16,53.9,-0.04024216524216517,S&P500
290,MDLZ,Consumer Staples,Packaged Foods & Meats,Mondelez International,65827817742,40.03,55.08,0.37596802398201334,S&P500
291,MNST,Consumer Staples,Soft Drinks,Monster Beverage,36403831015,49.22,63.55,0.29114181227143443,S&P500
292,MCO,Financials,Financial Exchanges & Data,Moody's Corp,30189978000,140.04,237.41,0.695301342473579,S&P500
293,MS,Financials,Investment Banking & Brokerage,Morgan Stanley,97535400000,39.65,51.12,0.2892812105926861,S&P500
294,MOS,Materials,Fertilizers & Agricultural Chemicals,The Mosaic Company,9726962131,29.21,21.64,-0.2591578226634714,S&P500
295,MSI,Information Technology,Communications Equipment,Motorola Solutions Inc.,16626039679,115.04,161.14,0.40073018080667566,S&P500
296,MYL,Health Care,Pharmaceuticals,Mylan N.V.,21698849265,27.4,20.1,-0.26642335766423353,S&P500
297,NDAQ,Financials,Financial Exchanges & Data,"Nasdaq, Inc.",12844304115,81.57,107.1,0.31298271423317403,S&P500
298,NOV,Energy,Oil & Gas Equipment & Services,National Oilwell Varco Inc.,12940096785,25.7,25.05,-0.02529182879377423,S&P500
299,NTAP,Information Technology,"Technology Hardware, Storage & Peripherals",NetApp,15375210915,59.67,62.25,0.043237807943690365,S&P500
300,NFLX,Communication Services,Movies & Entertainment,Netflix Inc.,114805404842,267.66,323.57,0.2088844055891801,S&P500
301,NWL,Consumer Discretionary,Housewares & Specialties,Newell Brands,14438346000,18.59,19.22,0.03388918773534155,S&P500
302,NEM,Materials,Gold,Newmont Mining Corporation,19749449484,34.65,43.45,0.2539682539682542,S&P500
303,NWSA,Communication Services,Publishing,News Corp. Class A,9356906461,11.35,14.14,0.24581497797356833,S&P500
304,NWS,Communication Services,Publishing,News Corp. Class B,9496735699,11.55,14.51,0.2562770562770562,S&P500
305,NEE,Utilities,Multi-Utilities,NextEra Energy,69661177770,173.82,242.16,0.39316534345875054,S&P500
306,NLSN,Industrials,Research & Consulting Services,Nielsen Holdings,13377670080,23.33,20.3,-0.1298756965280753,S&P500
307,NKE,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Nike,106776113744,74.14,101.31,0.36646884272997027,S&P500
308,NI,Utilities,Multi-Utilities,NiSource Inc.,7776566371,25.35,27.84,0.09822485207100584,S&P500
309,NBL,Energy,Oil & Gas Exploration & Production,Noble Energy Inc,13177325251,18.76,24.84,0.32409381663113,S&P500
310,JWN,Consumer Discretionary,Department Stores,Nordstrom,8212509855,46.61,40.93,-0.12186226131731392,S&P500
311,NSC,Industrials,Railroads,Norfolk Southern Corp.,40543547441,149.54,194.13,0.2981810886719274,S&P500
312,NTRS,Financials,Asset Management & Custody Banks,Northern Trust Corp.,22908130223,83.59,106.24,0.27096542648642163,S&P500
313,NOC,Industrials,Aerospace & Defense,Northrop Grumman Corp.,58782413951,244.9,343.97,0.40453246222948147,S&P500
314,NCLH,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Norwegian Cruise Line,13191507318,42.39,58.41,0.37791932059447975,S&P500
315,NRG,Utilities,Independent Power Producers & Energy Traders,NRG Energy,8030036023,39.6,39.75,0.0037878787878786735,S&P500
316,NUE,Materials,Steel,Nucor Corp.,20003317128,51.81,56.28,0.08627678054429655,S&P500
317,NVDA,Information Technology,Semiconductors,Nvidia Corporation,138652800000,133.5,235.3,0.7625468164794009,S&P500
318,ORLY,Consumer Discretionary,Specialty Stores,O'Reilly Automotive,21433781860,344.33,438.26,0.27279063688903094,S&P500
319,OXY,Energy,Oil & Gas Exploration & Production,Occidental Petroleum,53467692395,61.38,41.21,-0.3286086673183447,S&P500
320,OMC,Communication Services,Advertising,Omnicom Group,17377551986,73.24,81.02,0.10622610595303117,S&P500
